ន	និង|នៃ|នេះ|នៅ|នៅក្នុង|នឹង
ឥឡ	ឥឡូវនេះ|ឥឡូវ|ឥឡូវស្រមៃ
ឥឡូ	ឥឡូវនេះ|ឥឡូវ|ឥឡូវស្រមៃ
ឥឡូវ	ឥឡូវនេះ|ឥឡូវ|ឥឡូវស្រមៃ
ឥឡូវន	ឥឡូវនេះ
ខ្យ	ខ្យល់|ខ្យល់ព្យុះ|ខ្យល់អាកាស|ខ្យង|ខ្យល់៖
ខ្យល	ខ្យល់|ខ្យល់ព្យុះ|ខ្យល់អាកាស|ខ្យល់៖
ខ្យល់	ខ្យល់|ខ្យល់ព្យុះ|ខ្យល់អាកាស|ខ្យល់៖
ការត	ការតភ្ជាប់|ការត្រួតពិនិត្យ|ការតស៊ូ|ការត្រិះរិះ|ការតាមដាន|ការតាំងពិពណ៌
ការតភ	ការតភ្ជាប់|ការតភ្ជា|ការតភ្ជាប់គ្នា|ការតភ្ជាប់៖
ធ្វើអ	ធ្វើអោយ|ធ្វើអន្តរកម្ម|ធ្វើអន្តរាគមន៍
ការគោ	ការគោរព|ការគោរព៖
ការកស	ការកសាង|ការកសាងឡើងវិញ|ការកសាងសង្គម
ព្រំ	ព្រំដែន|ព្រំប្រទល់|ព្រំដែន៖|ព្រំ
ព្រំដ	ព្រំដែន|ព្រំដែន៖
ជំនួយ	ជំនួយ|ជំនួយការ|ជំនួយការនិម្មិត|ជំនួយការសំឡេង|ជំនួយការ៖|ជំនួយការឌីជីថល
ទោះប	ទោះបីជា|ទោះបី|ទោះបីជារឿយ
ទោះបី	ទោះបីជា|ទោះបី|ទោះបីជារឿយ
ចម្ង	ចម្ងាយ|ចម្ងល់|ចម្ងាយ៖
ចម្ងា	ចម្ងាយ|ចម្ងាយ៖
ចូរ	ចូរ
ផ្លែ	ផ្លែ|ផ្លែឈើ|ផ្លែផ្កា|ផ្លែស្ត្រ
ទៅដ	ទៅដល់|ទៅដប់
ទៅដល	ទៅដល់
ទៅដល់	ទៅដល់
ការចែ	ការចែករំលែក|ការចែកចាយ|ការចែក|ការចែកចាយ៖
ម៉ោ	ម៉ោង
ម៉ោង	ម៉ោង
ការសន	ការសន្ទនា|ការសន្សំ|ការសន្និដ្ឋាន|ការសន្មត់|ការសន្យា|ការសន្មត
កំហ	កំហុស|កំហឹង|កំហុស៖|កំហាប់|កំហុសឆ្គង|កំហិត
កំហុ	កំហុស|កំហុស៖|កំហុសឆ្គង|កំហុសបញ្ចូល
កំហុស	កំហុស|កំហុស៖|កំហុសឆ្គង|កំហុសបញ្ចូល
ប្រយ	ប្រយោជន៍|ប្រយុទ្ធ|ប្រយោល|ប្រយោគ|ប្រយ័ត្ន|ប្រយ័ត្នប្រយែង
ប្រយោ	ប្រយោជន៍|ប្រយោល|ប្រយោគ|ប្រយោល៖|ប្រយោជន៍៖|ប្រយោគបញ្ចូល
ការបំ	ការបំពុល|ការបំពេញ|ការបំភាយ|ការបំផុស|ការបំពាន|ការបំបែក
ទីប	ទីបំផុត|ទីបញ្ចប់|ទីប្រជុំជន|ទីប្រឹក្សា|ទីបី៖|ទីប្រជុំ
ទីបំ	ទីបំផុត
ទីបំផ	ទីបំផុត
តាមដ	តាមដាន|តាមដាន៖
តាមដា	តាមដាន|តាមដាន៖
រួមគ	រួមគ្នា
រួមគ្	រួមគ្នា
អំណ	អំណាច|អំណោយផល|អំណោយ|អំណះអំណាង|អំណាច៖|អំណោយទាន
អំណា	អំណាច|អំណាច៖|អំណា
អំណាច	អំណាច|អំណាច៖
បែង	បែងចែក|បែង|បែងចែកចេញ
បែងច	បែងចែក|បែងចែកចេញ
បែងចែ	បែងចែក|បែងចែកចេញ
ចិញ	ចិញ្ចឹម|ចិញ្ចើមផ្លូវ|ចិញ្ចៀន|ចិញ្ចឹម៖|ចិញ្ចើម|ចិញ្ចើ
ចិញ្	ចិញ្ចឹម|ចិញ្ចើមផ្លូវ|ចិញ្ចៀន|ចិញ្ចឹម៖|ចិញ្ចើម|ចិញ្ចើ
ចិញ្ច	ចិញ្ចឹម|ចិញ្ចើមផ្លូវ|ចិញ្ចៀន|ចិញ្ចឹម៖|ចិញ្ចើម|ចិញ្ចើ
សញ	សញ្ញា|សញ្ញាបត្រ|សញ្ជាតិ|សញ្ញាណ|សញ្ជឹង|សញ្ញាប័ត្រ
សញ្	សញ្ញា|សញ្ញាបត្រ|សញ្ជាតិ|សញ្ញាណ|សញ្ជឹង|សញ្ញាប័ត្រ
សញ្ញ	សញ្ញា|សញ្ញាបត្រ|សញ្ញាណ|សញ្ញាប័ត្រ|សញ្ញា៖|សញ្ញាប័ណ្ណ
សញ្ញា	សញ្ញា|សញ្ញាបត្រ|សញ្ញាណ|សញ្ញាប័ត្រ|សញ្ញា៖|សញ្ញាប័ណ្ណ
ការបែ	ការបែងចែក|ការបែកបាក់|ការបែកខ្ញែក|ការបែក|ការបែកធ្លាយ|ការបែកញើស
បុព	បុព្វហេតុ|បុព្វបុរស|បុព្វលាភ|បុព្វហេតុ៖|បុព្វបទ|បុព្វកាល
បុព្	បុព្វហេតុ|បុព្វបុរស|បុព្វលាភ|បុព្វហេតុ៖|បុព្វបទ|បុព្វកាល
បុព្វ	បុព្វហេតុ|បុព្វបុរស|បុព្វលាភ|បុព្វហេតុ៖|បុព្វបទ|បុព្វកាល
ការរច	ការរចនា|ការរចនា៖|ការរចនាទីក្រុង|ការរចនាយន្តហោះ|ការរចនាសម្លៀកបំពាក់|ការរចនាការសិក្សា
ភព	ភព
សម្រួ	សម្រួល
ករ	ករណី|ករ|ករុណា
ករណ	ករណី
ករណី	ករណី
តិ	តិច|តិចតួច|តិកម្ម|តិ៖|តិក|តិច៖
តិច	តិច|តិចតួច|តិច៖|តិចសាស់|តិចតួ
ការដឹ	ការដឹកជញ្ជូន|ការដឹង|ការដឹកជញ្ជូន៖|ការដឹកនាំ|ការដឹងគុណ|ការដឹងខ្លួន
ខ្ស	ខ្សែ|ខ្សាច់|ខ្សោយ|ខ្សែភាពយន្ត|ខ្សែក្រវ៉ាត់|ខ្សែកាប
ខ្សែ	ខ្សែ|ខ្សែភាពយន្ត|ខ្សែក្រវ៉ាត់|ខ្សែកាប|ខ្សែក|ខ្សែ៖
ស្ថាប	ស្ថាប័ន|ស្ថាបត្យកម្ម|ស្ថាបនា|ស្ថាបត្យករ|ស្ថាបត្យកម្ម៖|ស្ថាបត្យក
ការរុ	ការរុករក|ការរុករក៖|ការរុះរើ|ការរុំ|ការរុញច្រាន|ការរុញ
តម្លា	តម្លាភាព|តម្លាភា|តម្លា
ការទ	ការទទួលខុសត្រូវ|ការទំនាក់ទំនង|ការទទួលបាន|ការទទួលទាន|ការទទួលយក|ការទិញ
ការទទ	ការទទួលខុសត្រូវ|ការទទួលបាន|ការទទួលទាន|ការទទួលយក|ការទទួលស្គាល់|ការទទួល
រថ	រថយន្ត|រថភ្លើង|រថយន្តក្រុង|រថយ|រថ|រថភ្លើ
រថយ	រថយន្ត|រថយន្តក្រុង|រថយ
រថយន	រថយន្ត|រថយន្តក្រុង
រថយន្	រថយន្ត|រថយន្តក្រុង
ការផល	ការផលិត|ការផលិតភាពយន្ត|ការផលិតផលិតផល|ការផលិត៖
ជ្	ជ្រើសរើស|ជ្រាលជ្រៅ|ជ្រៅ|ជ្រាប|ជ្រុង|ជ្រលង
ជ្រ	ជ្រើសរើស|ជ្រាលជ្រៅ|ជ្រៅ|ជ្រាប|ជ្រុង|ជ្រលង
ជ្រើ	ជ្រើសរើស|ជ្រើសរើស៖|ជ្រើសរើសបញ្ចូល|ជ្រើស
ជ្រើស	ជ្រើសរើស|ជ្រើសរើស៖|ជ្រើសរើសបញ្ចូល|ជ្រើស
ការទំ	ការទំនាក់ទំនង|ការទំនាក់ទំនង៖|ការទំនាក់ទំនងជា|ការទំនាក់ទំនងជាប្រចាំ
ចល	ចលនា|ចល័ត|ចល|ចលករ|ចលាចល|ចលាចលនយោបាយ
ចលន	ចលនា|ចលនាទី|ចលនា៖|ចលនាការងារ|ចលនារី|ចលន
ចលនា	ចលនា|ចលនាទី|ចលនា៖|ចលនាការងារ|ចលនារី|ចលនាទីផ្សារ
អតី	អតីតកាល|អតីត|អតីតកាល៖|អតីតភាព
អតីត	អតីតកាល|អតីត|អតីតកាល៖|អតីតភាព
អតីតក	អតីតកាល|អតីតកាល៖
សម្ង	សម្ងាត់|សម្ងាត់៖|សម្ងួត
សម្ងា	សម្ងាត់|សម្ងាត់៖
ធម្មត	ធម្មតា|ធម្មតា៖
ការជ	ការជំរុញ|ការជ្រើសរើស|ការជឿទុកចិត្ត|ការជជែក|ការជួយ|ការជឿនលឿន
ការជំ	ការជំរុញ|ការជំនួស|ការជំនះ|ការជំរុញឱ្យ|ការជំទាស់|ការជំពប់
បន្ទ	បន្ទាប់មក|បន្ទាប់ពី|បន្ទាប់|បន្ទប់|បន្ទាត់|បន្ទុក
បន្ទា	បន្ទាប់មក|បន្ទាប់ពី|បន្ទាប់|បន្ទាត់|បន្ទាន់|បន្ទាប់បន្សំ
ជឿ	ជឿ|ជឿនលឿន|ជឿជាក់|ជឿនលឿន៖|ជឿជាច្រើន|ជឿជា
ស្មា	ស្មាតហ្វូន|ស្មារតី|ស្មាន|ស្មា|ស្មាតហ្វូន៖
ស្មាត	ស្មាតហ្វូន|ស្មាតហ្វូន៖
នរ	នរណា|នរវិទ្យា|នរក
នរណ	នរណា
នរណា	នរណា
អេ	អេកូឡូស៊ី|អេឡិចត្រូនិក|អេស្ប៉ាញ|អេហ្ស៊ីប|អេឡិចត្រូនិច|អេក្រង់
អេក	អេកូឡូស៊ី|អេក្រង់|អេកូ|អេក្វាទ័រ|អេកូឡូស៊ី៖|អេក្វាឌ័រ
អេកូ	អេកូឡូស៊ី|អេកូ|អេកូឡូស៊ី៖|អេកូស្មុគ្រស្មាញ
អេកូឡ	អេកូឡូស៊ី|អេកូឡូស៊ី៖
បង្រ	បង្រៀន|បង្រួបបង្រួម|បង្រួម|បង្រៀ|បង្រួញ|បង្រួបបង្រួមគ្នា
បង្រៀ	បង្រៀន|បង្រៀ
ភាពច	ភាពច្នៃប្រឌិត|ភាពចម្រុះ|ភាពចលាចល|ភាពច្បាស់លាស់|ភាពច្របូកច្របល់|ភាពចល័ត
ភាពច្	ភាពច្នៃប្រឌិត|ភាពច្បាស់លាស់|ភាពច្របូកច្របល់|ភាពច្នៃប្រឌិត៖|ភាពច្បាស់|ភាពច្របូកច្រប
ទ្	ទ្រព្យសម្បត្តិ|ទ្រឹស្តី|ទ្វារ|ទ្រឹស្ដី|ទ្វីប|ទ្រទ្រង់
ទ្រ	ទ្រព្យសម្បត្តិ|ទ្រឹស្តី|ទ្រឹស្ដី|ទ្រទ្រង់|ទ្រង់ទ្រាយ|ទ្រព្យ
ទ្រព	ទ្រព្យសម្បត្តិ|ទ្រព្យ|ទ្រព្យសម្បត្តិ៖|ទ្រព្យសកម្ម|ទ្រព្យសម្បតិ្ត|ទ្រព្យសម្បត្ដិ
ទ្រព្	ទ្រព្យសម្បត្តិ|ទ្រព្យ|ទ្រព្យសម្បត្តិ៖|ទ្រព្យសកម្ម|ទ្រព្យសម្បតិ្ត|ទ្រព្យសម្បត្ដិ
